,title,description,originallink,link,pubDate
38,‘우영우’ 아빠 전배수 “너무 행복했다”,전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한 목적으로... ,http://sports.khan.co.kr/news/sk_index.html?art_id=202208180940013&sec_id=540201&pt=nv,https://n.news.naver.com/mnews/article/144/0000831629?sid=106,"Thu, 18 Aug 2022 09:41:00 +0900"
39,"&apos;이상한 변호사 우영우&apos;, 진경-<b>박은빈</b> 관계 탄로 위기…&apos;13.8%&apos;",이날 방송에선 한선영(백지원)이 우광호(전배수)를 찾아와 우영우(<b>박은빈</b>)가 태수미(진경)의 혼외자식이라는 사실을 폭로할 것을 예고했다. 이와 함께 베일에 가려져 있던 태수미의 아들이 등장할 것으로 보인다.... ,http://www.stoo.com/article.php?aid=82052174839,http://www.stoo.com/article.php?aid=82052174839,"Thu, 18 Aug 2022 09:40:00 +0900"
40,"정관장, 추석 앞두고 할인 프로모션 전개","손석구, <b>박은빈</b> 등 정관장 모델이 추천하는 인기제품 4종(홍삼정 에브리타임·홍삼톤골드·천녹톤·화애락진)에 한해서는 추가 할인혜택을 받을 수 있다. 예년보다 빨라진 추석에 대비해 미리 선물을 구매하고자 하는... ",http://www.asiaa.co.kr/news/articleView.html?idxno=95859,http://www.asiaa.co.kr/news/articleView.html?idxno=95859,"Thu, 18 Aug 2022 09:38:00 +0900"
41,‘우영우’ 영우아빠 전배수 “좋은 작품 함께 해 감사했다” 종영소감,전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한 목적으로... ,https://www.newsen.com/news_view.php?uid=202208180934382410,https://n.news.naver.com/mnews/article/609/0000616498?sid=106,"Thu, 18 Aug 2022 09:37:00 +0900"
42,‘우영우’ 국민아빠 전배수 “좋은 작품에 함께할 수 있어 행복”,전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한 목적으로... ,http://www.sportsworldi.com/newsView/20220818507540,https://n.news.naver.com/mnews/article/396/0000621889?sid=106,"Thu, 18 Aug 2022 09:36:00 +0900"
43,"웹툰 이어 뮤지컬로, 재탄생하는 &apos;우영우 IP&apos;","&apos;이상한 변호사 우영우&apos;는 천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사 우영우(<b>박은빈</b>)의 대형 로펌 생존기를 그린 드라마다. 주인공 우영우뿐만 아니라 이준호(강태오), 정명석(강기영), 그리고 최수연... ",http://www.sportsq.co.kr/news/articleView.html?idxno=442767,http://www.sportsq.co.kr/news/articleView.html?idxno=442767,"Thu, 18 Aug 2022 09:36:00 +0900"
44,"&apos;우영우&apos; <b>박은빈</b>, 강기영 부재에 위기...하연수X주종혁 의리와 용기 빛났다 &apos;..."," ‘이상한 변호사 우영우’ <b>박은빈</b>을 위한 하윤경, 주종혁의 의리와 용기가 빛났다. 지난 17일 방송된... 장승준(최대훈 분)과 한 팀을 이룬 신입 변호사 우영우(<b>박은빈</b> 분), 최수연(하윤경 분), 권민우(주종혁 분)의... ",https://www.sportsw.kr/news/newsview.php?ncode=1065572056942261,https://www.sportsw.kr/news/newsview.php?ncode=1065572056942261,"Thu, 18 Aug 2022 09:34:00 +0900"
45,"<b>박은빈</b>♥강태오, 이별하고 새드엔딩 되나..&quot;외롭지 않게 할 자신 없어&quot;(우영우...","‘이상한 변호사 우영우’ <b>박은빈</b>을 위한 하윤경, 주종혁의 의리와 용기가 빛났다. 지난 17일 방송된 ENA채널... 장승준(최대훈 분)과 한 팀을 이룬 신입 변호사 우영우(<b>박은빈</b> 분), 최수연(하윤경 분), 권민우(주종혁 분)의... ",http://www.osen.co.kr/article/G1111921476,https://n.news.naver.com/mnews/article/109/0004680447?sid=106,"Thu, 18 Aug 2022 09:33:00 +0900"
46,"[공식] 함태인, &apos;우영우&apos; 최종회 뜬다…<b>박은빈</b>♥강태오 러브라인에 영향","&apos;이상한 변호사 우영우&apos;는 천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사 우영우(<b>박은빈</b> 분)의 좌충우돌 대형 로펌 생존기를 다루는 작품. 국내 넷플릭스 1위, 통합 콘텐츠 랭킹 1위에 등극하며 시청자들의... ",https://tenasia.hankyung.com/drama/article/2022081807794,https://n.news.naver.com/mnews/article/312/0000564517?sid=106,"Thu, 18 Aug 2022 09:32:00 +0900"
47,"함태인, ‘우영우’ 마지막회 출연 &quot;러브라인 속 존재감 발산&quot;","&apos;이상한 변호사 우영우&apos;는 천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사 우영우(<b>박은빈</b> 분)의 좌충우돌 대형 로펌 생존기를 다루는 작품이다. 국내 넷플릭스(Netflix) 1위, 통합 콘텐츠 랭킹 1위에 등극하며... ",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208180928337161&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://n.news.naver.com/mnews/article/117/0003636747?sid=106,"Thu, 18 Aug 2022 09:31:00 +0900"
